de	1	Obama empfängt Netanyahu	Obama welcomes Netanyahu	Obama, Netanyahu	Obama receives Netanyahu	x     	v->pun     
en	40	Carla Hairston sagte, sie war 15 und Lamm war 20, als sie sich durch gemeinsame Freunde trafen.	Carla Hairston said she was 15 and lamb was 20 when they met through common friends.	Carla hair tone said she was 15 and lamb was 20 when they met through mutual friends.	Carla Hairston said she was 15 and Lamb was 20 when they met through mutual friends.	ne     	ne_trans ne    
en	44	Lamb und Prentiss waren offensichtlich einige Zeit zusammen.	Lamb and Prentiss were obviously some time together.	Lamb and Prentiss were apparently some time together.	Lamb and Prentiss had apparently been dating for some time.	v_past_cont     	v_past_cont     
en	45	In dem Notruf sagte Lamb "Ich habe meine Frau getötet", aber es gab keine Urkunde von einer Heirat.	In the emergency call, Lamb said "I killed my wife," but there was no certificate from a marriage.	In an emergency, Lamb said, "I've killed my wife," but there was no certificate of marriage.	In the 911 call, Lamb said "I killed my wife," but there was no record of them ever marrying.	prep art_ext    	art v_ext    
en	46	Sie hatten einen Hund namens Lightning, der mit ihnen in dem Backstein-Haus lebte, das an einen Bayou in Gautier angrenzt.	They had a dog called Lightning, who lived with them in the Backstein house, bordering on a Bayou in Gautier.	You had a dog named Lightning, with them in the brick house, located on a Bayou in Gautier.	They had a dog named Lightning that lived with them at the brick house that backs up to a bayou in Gautier.	pron_rel untrans style   	ambig_pron pron_rel_miss v_miss v_lex  
en	47	Die Polizei sagte, dass der Hund in Ordnung war.	Police said the dog was OK.	The police said that the dog was in order.	Police said the dog was OK.	x     	art_ext literal    
en	48	Der Ex-Ehemann von Prentiss, Shawn O'Steen, sagte, sie seien vor 15 Jahren geschieden wurden, aber Freunde geblieben waren und eine Tochter hatten, die jetzt 19 Jahre alt war.	Prentiss's ex-husband, Shawn O'Steen, said they were divorced 15 years ago, but friends had stayed and had a daughter who was now 19 years old.	The ex-husband of Prentiss, Shawn O 'Steen, said that they had been divorced 15 years ago, but have remained friends and had a daughter, now 19 years old.	Prentiss' ex-husband, Shawn O'Steen, said they divorced 15 years ago but remained friends and had a daughter who's now 19.	v_past_cont n-coll v_order   	art_ext literal passive v_past_cont  
en	50	Sie und ihre Mutter waren absolut beste Freunde.	She and her mother were absolutely best friends.	She and her mother were absolutely best friends.	She and her mother were absolutely best friends.	x     	x     
en	55	Prentiss war eine Krankenschwester, die für verschiedene Unternehmen online arbeitete.	Prentiss was a nurse who worked online for various companies.	Prentiss was a nurse who worked for various companies online.	Prentiss was a nurse who worked for various companies online.	x     	x     
en	57	Es gab keine Anzeichen dafür, dass irgendetwas nicht stimmte.	There were no signs that anything was wrong.	There was no indication that anything was wrong.	There was no sign of anything amiss.	x     	x     
en	58	"Einfach nur ein glückliches Paar", sagte er.	"Just a happy couple," he said.	"Just a happy couple," he said.	"Just a happy couple," he said.	x     	x     
en	62	Er war verheiratet und hatte drei kleine Kinder.	He was married and had three small children.	He was married and had three small children.	He was married and had three young children.	x     	x     
en	66	Der Unterricht wird am Mittwoch wieder aufgenommen.	Classes will resume on Wednesday.	The classes will resume on Wednesday.	Classes resume Wednesday.	x     	art_ext     
en	70	Amy und Rogelio Solis berichteten aus Cleveland, Mississippi.	Amy and Rogelio Solis reported from Cleveland, Mississippi.	Amy and Rogelio Solis reported from Cleveland, Mississippi.	Amy and Rogelio Solis reported from Cleveland, Mississippi.	x     	x     
en	71	Associated Press Autoren Emily Wagster Pettus in Greenville, Mississippi, und Rebecca Santana in New Orleans trugen zu diesem Bericht bei.	Associated Press writers Emily Wagster Pettus in Greenville, Mississippi, and Rebecca Santana in New Orleans contributed to this report.	Associated Press writers Emily Wagster Pettus in Greenville, Mississippi, and Rebecca Santana in New Orleans contributed to this report.	Associated Press writers Emily Wagster Pettus in Greenville, Mississippi, and Rebecca Santana in New Orleans contributed to this report.	x     	x     
en	76	Die meisten Jobs werden Teilzeitjobs sein.	Most jobs will be part-time jobs.	Most of the jobs will be part-time jobs.	Most of the jobs will be part-time.	x     	x     
en	79	Michael J. Fox scherzt über sein "Date" mit Prinzessin Diana	Michael J. Fox jokes about his "date" with Princess Diana	Michael J. Fox jokes about his "Date" with Princess Diana	Michael J. Fox Jokes About His 'Date' With Princess Diana	x     	x     
en	81	Sie war auch aus persönlichen Gründen bemerkenswert.	It was also remarkable for personal reasons.	It was also remarkable for personal reasons.	It was noteworthy because of personal reasons, too.	x     	x     
en	92	Er bedauerte, dass die Aufspaltungen im Rat und innerhalb des syrischen Volkes und der Regionalmächte "diese Situation unlösbar machen."	He regretted that the divisions in the council and within the Syrian people and regional powers "make this situation intractable."	He regretted that the divisions within the Council and within the Syrian people and the regional powers are "impossible to solve this situation."	He expressed regret that divisions in the council and among the Syrian people and regional powers "made this situation unsolvable."	art_ext prep v_infl   	art_ext prep prep art_ext v_lex phrase_structure
en	94	8 Umfragewerte, die zeigen, dass Donald Trump ernst zu nehmen ist.	8 poll results showing that Donald Trump is serious.	8 poll numbers that show that Donald Trump should be taken seriously.	8 Poll Numbers That Show Donald Trump Is For Real	pron_rel_miss mwe    	x     
en	96	Andere haben ihn als einen Witz abgetan.	Others dismissed him as a joke.	Others have dismissed it as a joke.	Others have dismissed him as a joke.	v_past_cont     	pron_it     
en	97	Und manche warten auf einen Zusammenbruch.	And some are waiting for a collapse.	And some are waiting for a collapse.	And some are holding out for an implosion.	x     	x     
en	98	Aber egal, wie einige Republikaner versuchen, Donald Trump von den oberen Rängen bei Umfragen nach unten zu ziehen, es hat (noch) nicht funktioniert.	But no matter how some Republicans try to pull Donald Trump from the top ranks at polls down, it (still) didn't work.	But no matter how some Republicans are trying to draw Donald Trump from the top echelons of surveys, it has not worked (yet).	But no matter how some Republicans are trying to drag Donald Trump down from atop the polls, it hasn't worked (yet).	v_pres_cont adv_order v_past_cont   	v_lex n_lex    
en	100	Natürlich ist es noch zu früh in der Wahlperiode.	Of course, it is too early in the parliamentary term.	Of course, it is still too early in the term.	Of course, it's still early in the election cycle.	adv_miss comp    	comp     
en	101	Keiner behauptet, dass Trump wahrscheinlich die republikanische Nominierung gewinnen wird.	No one claims that Trump is likely to win the Republican nomination.	No one claims that Trump is likely to win the Republican nomination.	None of this is to say that Trump is likely to win the Republican nomination.	x     	x     
en	107	Kurz bevor Donald Trump seine Kandidatur Mitte Juni ankündigte, zeigte eine Umfrage der Monmouth-University, dass nur zwei von zehn Republikanern den Immobilien-Mogul positiv sahen.	Just before Donald Trump announced his candidacy in mid-June, a poll by Monmouth-University showed that only two out of 10 Republicans saw the real estate mogul positive.	Shortly before Donald Trump announced his candidacy in mid-June, showed a poll by Monmouth University that only two out of ten Republicans, the real estate mogul was positive.	Right before Donald Trump announced his candidacy in mid-June, a Monmouth University poll showed only two in 10 Republicans had a positive view of the real estate mogul.	prep_miss     	literal v_lex    
en	108	Bis Mitte Juli waren es 40 Prozent.	By mid-July, it was 40 percent.	By mid-July, there were 40 percent.	By mid-July, it was 40 percent.	x     	literal     
en	109	Anfang August waren es 52 Prozent.	In early August, it was 52 percent.	At the beginning of August, there were 52 percent.	In early August, it was 52 percent.	x     	literal     
en	112	Und diese Zahlen halten sich in frühen Staaten.	And those numbers keep in early states.	And these figures are in early states.	And these numbers hold up in early states.	v_lex_style     	v_lex     
en	116	Nur zwei von 10 sagen, sie wären "verärgert", wenn er der Kandidat wäre.	Only two out of 10 say they would be "upset" if he were the candidate.	Only two out of 10 say they would be "upset" if he were the nominee.	Only two in 10 say they would be "upset" if he were the nominee.	x     	x     
en	117	Nur Ben Carson schafft ungefähr die gleiche Begeisterung wie Trump (43 Prozent sagen, sie wären "begeistert" vs. 40 Prozent, die das gleiche über Trump sagen).	Only Ben Carson creates roughly the same enthusiasm as Trump (43 percent say they would be "thrilled" vs. 40 percent who say the same about Trump).	Only Ben Carson creates the same enthusiasm about how Trump (43 percent say they would be "enthusiastic" vs. 40 percent who say the same about Trump.	Only Ben Carson generates roughly the same level of enthusiasm as Trump (43 percent say they would be "enthusiastic" vs. 40 percent who say the same of Trump).	v_lex_style     	v_lex_style ambig_conj    
en	118	Der nächste in Sachen Begeisterung?	The next in terms of enthusiasm?	The next in terms of enthusiasm?	The next closest in enthusiasm?	x     	x     
en	119	Marco Rubio mit nur 21 Prozent.	Marco Rubio with only 21 percent.	Marco Rubio, with only 21 percent.	Marco Rubio with only 21 percent.	x     	x     
en	120	Auf der anderen Seite sagen 47 Prozent der republikanischen Wähler, dass sie "unzufrieden" oder "verärgert" wären, wenn Jeb Bush, der Favorit des Establishments, der Kandidat würde.	On the other hand, 47 percent of Republican voters say they would be "dissatisfied" or "upset" if Jeb Bush, the establishment's favorite, would be the candidate.	On the other hand, 47 percent of Republican voters said they were "dissatisfied" or "angry" when Jeb Bush, the favorite of the establishment, the candidate said.	On the flip side, 47 percent of Republican voters say they would be "dissatisfied" or "upset" if establishment favorite Jeb Bush becomes the nominee.	ambig_v     	v_infl v_infl literal v_lex  
en	121	Eine Mehrheit der Republikaner sieht Trumps Temperament nicht als Problem.	A majority of Republicans don't see Trumps temperament as a problem.	A majority of Republicans see Trump's temperament is not a problem.	A majority of Republicans don't see Trump's temperament as a problem.	ne     	neg     
en	125	Republikanische Wähler gewöhnen sich an die Idee.	Republican voters get used to the idea.	Republican voters get used to the idea.	Republican voters are getting used to the idea.	v_pres_cont     	v_pres_cont     
en	126	Wenn sie ihre Gelehrtenhüte aufsetzen, halten republikanischen Wähler Trump für real.	If they set up their erudition, Republican voters hold Trump for real.	If they put their scholars hats, Republican voters think Trump is for real.	When they put on their pundit hats, Republican voters think Trump is for real.	ambig_conj v_lex n_lex   	ambig_conj     
en	128	Das ist ein Wechsel seit dem Zeitpunkt, als vier von zehn Ende Juli ihr Geld auf Jeb Bush setzten.	This is a change since the time when four out of 10 at the end of July put their money on Jeb Bush.	This is a change from the time when four out of ten at the end of July put their money on Jeb Bush.	That's a change from when four in 10 placed their money on Jeb Bush in late July.	ambig_conj phrase_order_adv_time    	phrase_order_adv_time     
en	131	Dennoch zeigt sich, dass eine Vielzahl von GOP-Wählern Trumps Kampagne als plausibel ansehen.	Still, it is apparent that a variety of GOP-led voters see Trumps's campaign as plausible.	However, it appears that a large number of GOP voters, Trump's campaign as a plausible.	Still, it shows that a plurality of GOP voters see Trump's campaign as plausible.	v_lex n_lex    	v_lex v_miss    
en	133	Einige Experten weisen darauf hin, dass das zersplitterte Feld wahrscheinlich zu Trumps Führung beiträgt, während der Anti-Trump-Support auf mehr als ein Dutzend anderer Kandidaten diffus verteilt ist.	Some experts point out that the fractured field is likely to contribute to Trumps' leadership, while anti-gun support is difficile to more than a dozen other candidates.	Some experts suggest that the splintered field probably contributes to Trump's leadership, while the anti-Trump-support to more than a dozen other candidates distributed is diffuse.	Some pundits point out that the splintered field is likely contributing to Trump's lead, while anti-Trump support is be spread diffusely among more than a dozen other candidates.	a_lex_style ne_trans    	v_lex_style adv+v    
en	134	Aber eine Umfrage der Monmouth-University Anfang September zeigt, dass in einem hypothetischen Kopf-an-Kopf-Rennen zwischen Trump und den meisten anderen republikanischen Kandidaten, Trump die mehrheitliche Unterstützung erntet.	But a poll by Monmouth University in early September shows that in a hypothetical head-to-head race between Trump and most other Republican candidates, Trump is reaping majority support.	But a poll by Monmouth University in early September shows that in a hypothetical head-to-head race between Trump and most of the other Republican candidates, Trump is reaping the majority support.	But a Monmouth University poll in early September shows that, in a hypothetical head-to-head matchup between Trump and most other Republican candidates, Trump almost always garners majority support.	n_lex_style     	n_lex_style art_ext    
en	136	Es ist ein Kopf-an-Kopf-Rennen mit Ted Cruz.	It's a head-to-head race with Ted Cruz.	It is a head-to-head race with Ted Cruz.	He's in a dead heat with Ted Cruz.	x     	x     
en	137	Der einzige Kandidat, der ihn schlägt?	The only candidate who beats him?	The only candidate who beats him?	The only candidate who beats him?	x     	x     
en	140	Eine neue Umfrage von CBS/NYT am Dienstag zeigt, dass nur etwas mehr als die Hälfte der Wähler, die Trump unterstützen, sagen, dass sie ihre Stimmen fest vergeben haben.	A new poll by CBS/NYT on Tuesday shows that only slightly more than half of the voters who support Trump say they have their voices fixed.	A new CBS / NYT poll on Tuesday shows that only slightly more than half of the voters who support Trump, saying that they have given their votes.	A new CBS/NYT poll out on Tuesday shows that just more than half of voters who support Trump say they have locked in their votes.	art_ext adv+v    	art_ext pun_ext v_infl adv+v  
en	141	Natürlich kann viel geschehen, um das zu ändern, und niemand kann wirklich sagen, niemals die Meinung zu ändern.	Of course, a lot can be done to change that, and no one can really say never to change the opinion.	Of course, much can be done to change that, and no one can really say never to change their opinion.	Obviously, a lot can happen to change that, and no one can really say they would never change their mind.	literal     	literal     
en	142	46 Prozent sagten, dass sie die Tür offen lassen, um zu anderen Kandidaten zu wechseln.	Forty-six percent said they leave the door open to switch to other candidates.	46 percent said that they leave the door open to switch to other candidates.	46 percent said they are leaving the door open to switching candidates.	v_pres_cont     	v_pres_cont     
en	144	Sechs von 10 Republikanern sagen, dass sie mit Trump beim Thema Einwanderung übereinstimmen.	Six out of 10 Republicans say they agree with Trump on immigration.	Six out of 10 Republicans say they agree with Trump on the issue of immigration.	Six in 10 Republicans say they agree with Trump on immigration.	x     	x     
en	148	Solange also die Einwanderung im Rampenlicht verbleibt, wird es Donald Trump anscheinend auch tun.	So long as immigration remains in the limelight, Donald Trump seems to be doing it, too.	So, as long as immigration remains in the spotlight, it will also do Donald Trump apparently.	So as long as immigration remains in the spotlight, it seems Donald Trump will remain too.	phrase_structure     	literal     
en	149	Die Frustration über die Regierung klettert auf neue Höchststände.	Frustration over the government clings to new highs.	The frustration with the government climbs to new highs.	Frustration with government is climbing to new highs.	prep v_pres_cont    	art_ext v_pres_cont    
en	151	Sechs von 10 Republikanern sagen in der neuen Montags-Umfrage von ABC/Post, sie wollen lieber einen politische Außenseiter als jemanden mit Regierungserfahrung.	Six out of 10 Republicans say in the new Monday poll by ABC/Post that they'd rather want a political outsider than someone with government experience.	Six out of 10 Republicans said Monday in the new ABC / Post poll, they want a political outsider rather than someone with government experience.	Six in 10 Republicans in Monday's new ABC/Post poll say they want a political outsider over someone with government experience.	art_ext     	v_infl art_ext n-coll conj->pun  
en	152	Und sie sind auch wütend auf Washington.	And they're also angry at Washington.	And they are also angry at Washington.	And they are angry at Washington, too.	x     	x     
de	154	München, Sylt und Co.: Die fünf exklusivsten Wohngegenden Deutschlands	Munich, Sylt and Co.: The five most exclusive residential areas of Germany	Munich, Sylt and Co.: The five most exclusive residential areas in Germany	Munich, Sylt und Co.: the five most exclusive residential areas in Germany	prep     	x     
de	158	Eine neue Studie zeigt, in welchen besonderen Lagen ein Quadratmeter am meisten kostet.	A new study shows in which particular locations a square meter costs the most.	A new study shows, in which special situations a square metre costs the most.	This new study indicates the particular locations with the most expensive accommodation per square metre.	literal     	literal ambig_n    
de	159	Natürlich, 18,70 Euro pro Quadratmeter für eine Studentenbude in München sind nicht wirklich wenig.	Of course, 18.70 euros per square meter for a student bude in Munich are not really little.	Of course, 18,70 euros per square meter for a student room in Munich are not really little.	Of course, €18.70 per square metre for student digs in Munich is not really low.	comp literal    	literal     
de	162	Da sind mal mehrere Zehntausend Euro nix - pro Quadratmeter, wohlgemerkt.	There are several tens of thousands of euros - per square metre, of course.	There are several tens of thousands of euros per square metre - nix, mind you.	More than €10,000 is nothing there - per quare metre, mind you.	literal adv_miss    	literal untrans    
de	164	Übrigens: München liegt hier ausnahmsweise mal nicht an der Spitze.	By the way: Munich, for once, is not at the top.	By the way: Here is exceptionally not at the top.	Incidentally, for once Munich is not in the lead.	x     	ne literal    
de	166	Zweifacher Torschütze in Piräus: Bayern-Star Thomas Müller hat einfach einen Lauf.	Two-time goalscorer in Piraeus: Bayern star Thomas Müller just has a run.	Two career in Piraeus: Bayern star Thomas Müller has just one run.	Double goal scorer in Piraeus: Bayern star Thomas Müller is simply on a roll.	mwe     	comp mwe    
de	167	Ein glücklicher Treffer von Thomas Müller ebnete dem FC Bayern den Weg zu einem verdienten 3:0 bei Olympiakos Piräus - dann lief's.	A lucky hit by Thomas Müller gave FC Bayern the way to a deserved 3-0 at Olympiakos Piraeus - then ran.	A lucky strike by Thomas Müller joined FC Bayern paved the way to a deserved 3-0 in Piraeus expense - then ran '.	A lucky goal from Thomas Müller paved the way for a 3:0 victory for FC Bayern at Olypiacos Piraeus - then it got better.	n_lex ambig_v    	n_lex prep ne_trans ambig_v  
de	168	Ein souveräner Auftakt der Champions-League-Saison.	A sovereign prelude to the Champions League season.	A sovereign prelude to the Champions League season.	A confident start to the Champions League season.	ambig_a     	ambig_a     
de	171	Der zwölfte Starterfolg in Serie soll der erste Schritt Richtung Finale am 28. Mai 2016 in Italien sein, wo Guardiola im dritten Anlauf endlich den Henkelpott nach München holen will.	The twelfth star success in the series is to be the first step towards the final on May 28, 2016 in Italy, where Guardiola will finally bring the Henkelpott to Munich in the third attempt.	The twelfth launch success in series should be the first step towards the final on 28 May 2016 in Italy, where Guardiola wants to bring in the third attempt at the Henkel pot to Munich.	The twelfth successful start in a row should be the first step toward the final in Italy on 28 May 2016, where Guardiola wants to end his third attempt by taking the trophy back to Munich.	comp sollen ambig_v untrans  	comp phrase_structure prep comp  
de	182	Die besten Gelegenheiten in Hälfte eins hatte Robert Lewandowski.	The best opportunities in half one had Robert Lewandowski.	The best opportunities in the first half, Robert Lewandowski.	Robert Lewandowski had the best opportunities in the first half.	literal phrase_order_ovs    	v->pun phrase_order_ovs    
de	183	Zunächst, als Olympiakos-Stürmer Ideye Brown den Kopfball des Polen von der Linie schlug (26.).	First, as Olympiakos striker Ideye Brown beat Poland's headball from the line (26th).	First of all, the expense-striker Ideye Brown's header beat the Poles from the line (26).	First when Olympiacos striker Ideye Brown hit the Pole's header from the line in the 26th minute.	ambig_v ne comp   	ne_trans ne ambig_v ne  
de	185	Obwohl die Bayern ihr gewohnt dominantes Spiel aufzogen, konnte Piräus Nadelstiche setzen.	Although Bayern moved to their usual dominant game, Piraeus was able to set needle sticks.	Although the Bayern game raise their usual dominantes, Piraeus acupuncture could do.	Although Bayern is used to playing a dominant game, Piraeus were able to needle them.	mwe     	art_ext comp mwe   
de	187	So etwa, als er einen Schuss von Ideye über die Latte lenkte (56.).	So, for example, when he steered a shot of Ideye over the latte (56th).	For example, when he has a shot of the bar drew Ideye (56th).	For example when he steered a shot from Ideye over the crossbar in the 56th minute.	prep untrans    	v_past phrase_structure    
de	192	Götze kam spät für Arturo Vidal (76.) und machte 13 Minuten später alles klar, per Elfmeter setzte Müller noch einen drauf.	Idols arrived late for Arturo Vidal (7-6) and made it all clear 13 minutes later, by Elfmeter, Müller added one more.	Idol late for Arturo Vidal (76), and 13 minutes later made it clear that Muller was a penalty on another.	Götze came late for Arturo Vidal in the 76th minute and proved himself 13 minutes later; Müller put another one in with a penalty.	ne_trans number untrans pun_ext  	ne_trans v_miss v_past conj_ext  
de	196	Wer raucht, hat ein höheres Risiko, Zähne zu verlieren	Who smokes, has a higher risk of losing teeth	Smokers have a higher risk of losing teeth	Smokers at a greater risk of losing teeth	literal     	x     
de	199	Raucher haben ein deutlich erhöhtes Risiko, ihre Zähne früh zu verlieren.	Smokers have a significantly increased risk of losing their teeth early.	Smokers have a significantly increased risk of losing their teeth early.	Smokers have a significantly increased risk of losing their teeth early.	x     	x     
de	200	Das geht aus der Langzeitstudie eines internationalen Forscherteams hervor, darunter mehrere Mitarbeiter des Deutschen Instituts für Ernährungsforschung (DIfE) in Potsdam.	This is based on the long-term study of an international research team, including several employees of the German Institute for Food Research (DIfE) in Potsdam.	It emerges from the long-term study by an international team of researchers, including several employees of the German Institute of Human Nutrition (DIfE) in Potsdam.	This emerges from a long-term study by an international team of researchers, including a number of employees of the German Institute for Nutritional Research (DIfE) in Potsdam.	comp     	prep comp    
de	201	Im Vergleich zu Nichtrauchern lag bei Rauchern das Risiko, ihre Zähne vorzeitig zu verlieren, um das 2,5- bis 3,6-Fache höher.	Compared to non-smokers, smokers were at risk of losing their teeth prematurely, hitting the 2.5- to 3.6-fold higher.	Compared to non-smokers, smokers, the risk of losing their teeth prematurely, the 2.5 to 3.6-fold higher.	Compared to non-smokers, the risk of losing their teeth prematurely is between 2.5 and 3.6 times higher for smokers.	phrase_structure     	v->pun phrase_structure    
de	202	Die Wissenschaftler hatten mehr als 23.300 Teilnehmer beobachtet.	The scientists had observed more than 23,300 participants.	The scientists had observed more than 23.300 participants.	The scientists monitored more than 23,300 participants.	x     	x     
de	207	Menschen, die mit dem Rauchen aufhörten, könnten ihr Risiko aber innerhalb kurzer Zeit verringern, schreiben die Forscher im "Journal of Dental Research".	People who quit smoking could reduce their risk within a short period of time, the researchers wrote in the Journal of Dental Research.	People who stop smoking, reduce their risk, but within a short period of time, "the researchers write in the Journal of Dental Research."	People who stop smoking could reduce their risk within a short time, the researchers write in the "Journal of Dental Research".	v_infl     	v->pun conj_mid_order    
de	209	Man müsse Menschen davon überzeugen, Nichtraucher zu werden, erklärte Studienleiter Heiner Boeing vom DIfE: "Rauchen verkürzt die Lebenszeit."	People need to be persuaded to become non-smokers, study leader Heiner Boeing told DIfE: "Smoking is shortening the lifetime."	We need to convince people to be non-smokers, study director Heiner Boeing from DIfE declared: "Smoking shortens the life."	People should be persuaded to become non-smokers, declared study leader Heiner Boeing of DIfE: "Smoking shortens the lifespan".	phrase_structure v_pres_cont    	ambig_v v_order comp   
de	215	Zum wiederholten Mal sind am rechten Rheinufer in Köln archäologische Funde gemacht worden.	At the same time, archaeological findings have been made at the right bank of the Rhine in Cologne.	For the umpteenth time archaeological finds are on the right bank of the Rhine in Cologne.	Archaeological finds have again been made on the right bank of the Rhine in Cologne.	mwe prep    	mwe passive    
de	216	In der Nähe der Baustelle für den neuen Rheinboulevard haben Archäologen des Römisch-Germanischen-Museums Skelette und Reste historischer Bauten ausgegraben, sagte Museumsleiter Marcus Trier am Dienstag.	In the vicinity of the construction site for the new Rhine boulevard, archaeologists of the Römisch-Germanic Museum have dug out skeletons and remnants of historic buildings, museum director Marcus Trier said Tuesday.	In the vicinity of the construction site for the new Rhine Boulevard have archaeologists of the Römisch-Germanisches Museum excavated skeletons and remnants of historic buildings, said museum director Marcus Trier on Tuesday.	Archaeologists from the Roman Germanic Museum have unearthed skeletons and remains of historical buildings near the site where the new Rhine Boulevard is being constructed , said museum Director Marcus Trier on Tuesday.	genitive comp prep   	literal genitive comp   
de	217	Seit dem Beginn der Bauarbeiten am Rhein sind Historiker auf der Suche nach sogenannten Bodendenkmälern.	Since the beginning of the construction works on the Rhine, historians have been searching for so-called ground monuments.	Since the start of the construction works on the Rhine historians in search of so-called natural monuments.	Historians have been in search of so-called architectural monuments since the start of construction work on the Rhine.	x     	v_miss comp    
de	218	Bei allen Bauvorhaben im Stadtbezirk Köln wird das Museum stets als Fachamt für Archäologische Bodendenkmalpflege hinzugezogen.	In all construction works in the city district of Cologne, the museum is always referred to as the Department of Archaeology of Archaeology.	All construction projects in the city district of Cologne, the museum is always consulted as Fachamt for Archaeological soil preservation.	The museum, as the department for archaeological monument conservation, is always consulted when construction projects are carried out in the city district of Cologne.	prep v_lex comp   	prep_miss comp comp   
de	219	Im dritten Bauabschnitt des Rheinboulevards wurden die Archäologen nun fündig.	Archaeologists have now been found in the third section of the Rhine River.	In the third phase of the Rhine boulevards, the archaeologists found what they needed.	The archaeologists made a find in the third construction phase of the Rhein Boulevard.	art_miss mwe comp   	comp n_infl    
