de	1	Obama receives Netanyahu	Obama empfängt Netanjahu	Obama Netanyahu empfängt	Obama empfängt Netanyahu	transliteration     	v_order       
en	37	Lamb started working at the university, which has 3,500 students in a city of about 12,000, in 2009 and taught geography and education classes.	Lamm begann an der Universität zu arbeiten, die 3.500 Studenten in einer Stadt von etwa 12.000, im Jahr 2009 und unterrichtete Geografie und Bildungsklassen.	Lamb begann an der Universität, die 3.500 Studenten in einer Stadt von rund 12.000 im Jahr 2009 und lehrte Geographie und Erziehung.	Lamb begann 2009 seine Arbeit an der Universität, die 3.500 Studenten in einer Stadt mit etwa 12.000 Einwohnern hat und unterrichtete Geographie und Pädagogik.	ne_trans v_miss n-coll_comp   	v_miss pun_miss n-coll_comp     
en	38	He received a doctorate in education in the spring.	Er erhielt im Frühjahr einen Doktortitel in der Ausbildung.	Er erhielt einen Doktortitel in der Bildung im Frühjahr.	Er promovierte im Frühjahr in Pädagogik.	art_ext ambig_n art_ext   	art_ext ambig_n phrase_order_adv_time     
en	39	One of Lamb's longtime friends described him as smart, charismatic and funny.	Einer der langjährigen Freunde von Lamb beschrieb ihn als schlau, charismatisch und witzig.	Zu den langjährigen Freunden des Lammes beschrieb ihn als intelligent, charismatisch und lustig.	Einer der langjährigen Freundinnen Lambs bezeichnete ihn als intelligent, charismatisch und lustig.	n_infl     	one_of ne_trans      
en	50	She and her mother were absolutely best friends.	Sie und ihre Mutter waren absolut beste Freunde.	Sie und ihre Mutter waren absolut beste Freunde.	Sie und ihre Mutter waren absolut beste Freunde.	x     	x       
en	57	There was no sign of anything amiss.	Es gab kein Zeichen für irgendetwas Amiss.	Es gab keine Anzeichen für irgendetwas schief.	Es gab keine Anzeichen dafür, dass irgendetwas nicht stimmte.	prep untrans    	prep       
en	60	I mean, they both had a good sense of wit about them.	Ich meine, beide hatten ein gutes Gefühl von Witz über sie.	Ich meine, sie hatte auch ein gutes Gespür für Witz.	Ich meine, sie hatten beide einen guten Sinn für Scherze.	literal     	ambig_pron literal      
en	62	He was married and had three young children.	Er war verheiratet und hatte drei junge Kinder.	Er war verheiratet und hatte drei kleine Kinder.	Er war verheiratet und hatte drei kleine Kinder.	literal     	x       
en	64	On the Delta State campus in Cleveland on Tuesday night, about 900 people, including faculty members, staff, students, and members of the community, attended a candlelight memorial.	Auf dem Delta State Campus in Cleveland am Dienstagabend nahmen rund 900 Menschen, darunter Fakultätsmitglieder, Mitarbeiter, Studenten und Mitglieder der Gemeinde, an einer Kerzenlicht-Gedenkstätte teil.	Im Delta State Campus in Cleveland am Dienstagabend etwa 900 Menschen, darunter Mitglieder, Mitarbeiter, Studenten und Mitglieder der Gemeinschaft, ein Candlelight-Denkmal besucht.	Auf dem Delta State Campus in Cleveland nahmen am Dienstag Abend etwa 900 Menschen, einschließlich Dozenten, Mitarbeiter, Studenten und Mitglieder der Gemeinde an einer Kerzenlicht-Gedenkfeier teil.	v_order     	prep v_lex_order n-coll_comp     
en	66	Classes resume Wednesday.	Die Kurse werden am Mittwoch fortgesetzt.	Klassen am Mittwoch wieder.	Der Unterricht wird am Mittwoch wieder aufgenommen.	x     	art_miss v_miss      
en	68	The crisis is over.	Die Krise ist vorbei.	Die Krise ist vorbei.	Die Krise ist vorüber.	x     	x       
en	69	This is a day of healing.	Das ist ein Tag der Heilung.	Dies ist ein Tag der Heilung.	Dies ist ein Tag der Heilung.	x     	x       
en	70	Amy and Rogelio Solis reported from Cleveland, Mississippi.	Amy und Rogelio Solis berichteten von Cleveland, Mississippi.	Amy und Rogelio Solis berichtete aus Cleveland, Mississippi.	Amy und Rogelio Solis berichteten aus Cleveland, Mississippi.	prep     	v_infl       
en	75	The company said it plans to hire 40,000 people to work at stores and distribution centers around the country, down from the 45,000 hired for the 2014 holiday season.	Das Unternehmen erklärte, es plane 40.000 Menschen, an Läden und Distributionszentren rund um das Land zu arbeiten, von den 45 000, die für die Feriensaison 2014 eingestellt wurden.	Das Unternehmen sagte, es sollen 40.000 Menschen, Filialen und Distributionszentren im ganzen Land, von den 45.000 für die Urlaubssaison 2014.	Das Unternehmen sagte, dass es plane, 40.000 Menschen in Läden und Vertriebszentren im ganzen Land einzustellen. In der Weihnachtszeit 2014 wurden noch 45.000 Arbeitskräfte eingestellt.	v_lex pun->v prep   	v_miss prep_miss v_miss v_miss    
en	80	The premiere of "Back to the Future" was a huge moment for Michael J. Fox professionally.	Die Premiere von "Zurück in die Zukunft" war ein riesiger Moment für Michael J. Fox professionell.	Die Premiere von "Back to the Future" war ein großer Moment für Michael J. Fox.	Die Premiere von "Back to the Future" war beruflich ein großer Moment für Michael J. Fox.	adv_order     	adv_miss       
en	81	It was noteworthy because of personal reasons, too.	Es war auch aus persönlichen Gründen bemerkenswert.	Es war bemerkenswert, weil aus persönlichen Gründen.	Sie war auch aus persönlichen Gründen bemerkenswert.	it     	it literal      
en	86	"It really is for me," said Spielberg, "inarguably the greatest time travel movie ever put on film."	"Es ist wirklich für mich", sagte Spielberg, "inwohl der größte Zeitreisefilm, der je auf Film setzt".	"Es ist wirklich für mich", sagte Spielberg, "die größte Zeitreise Startformation Film auf Film".	"Es ist für mich wirklich", sagte Spielberg, "unstrittig der größte Zeitreise-Film, der jemals gedreht wurde."	literal     	n-coll_comp diff      
en	88	UN Chief Says There Is No Military Solution in Syria	UN-Chef Says Es gibt keine Militärlösung in Syrien	-Chief Says There Is No militärische Lösung in Syrien	UN-Chef sagt, es gibt keine militärische Lösung in Syrien	comp untrans    	comp untrans untrans untrans    
en	92	He expressed regret that divisions in the council and among the Syrian people and regional powers "made this situation unsolvable."	Er äußerte Bedauern darüber, dass die Spaltung im Rat und unter dem syrischen Volk und den Regionalmächten "diese Situation nicht lösbar" gemacht habe.	Er bedauert, dass der Rat und die syrische Bevölkerung und die regionalen Mächte "die Situation unlösbar gemacht".	Er bedauerte, dass die Aufspaltungen im Rat und innerhalb des syrischen Volkes und der Regionalmächte "diese Situation unlösbar machen."	literal neg v_infl   	v_infl n_miss prep_miss prep_miss art_infl v_miss  
en	96	Others have dismissed him as a joke.	Andere haben ihn als Witz abgetan.	Andere haben ihn als Witz.	Andere haben ihn als einen Witz abgetan.	art_miss     	art_miss v_miss      
en	100	Of course, it's still early in the election cycle.	Natürlich ist es noch früh im Wahlzyklus.	Natürlich ist es noch früh in der Wahl.	Natürlich ist es noch zu früh in der Wahlperiode.	ambig_n     	n-coll_comp       
en	101	None of this is to say that Trump is likely to win the Republican nomination.	Nichts davon ist zu sagen, dass Trump die republikanische Nominierung gewinnen dürfte.	Nichts davon ist zu sagen, dass Trump wahrscheinlich die republikanische Nominierung zu gewinnen.	Keiner behauptet, dass Trump wahrscheinlich die republikanische Nominierung gewinnen wird.	literal mwe    	literal mwe      
en	103	And there are many reasons he would struggle in a general election.	Und es gibt viele Gründe, warum er bei einer Bundestagswahl kämpfen würde.	Und es gibt viele Gründe, würde er in einer allgemeinen Wahl kämpfen.	Und es gibt viele Gründe, warum er in einer allgemeinen Wahl zu kämpfen hätte.	prep     	conj_miss v_order      
en	107	Right before Donald Trump announced his candidacy in mid-June, a Monmouth University poll showed only two in 10 Republicans had a positive view of the real estate mogul.	Gleich vor Donald Trump gab seine Kandidatur Mitte Juni bekannt, eine Monmouth Uni-Umfrage zeigte nur zwei in zehn Republikanern einen positiven Blick auf den Immobilienmogul.	Bevor Donald Trump seine Kandidatur angekündigt, Mitte Juni, Monmouth University Umfrage nur zwei von zehn Republikanern hatte eine positive Einschätzung der Immobilien Buckelpisten.	Kurz bevor Donald Trump seine Kandidatur Mitte Juni ankündigte, zeigte eine Umfrage der Monmouth-University, dass nur zwei von zehn Republikanern den Immobilien-Mogul positiv sahen.	literal v_order conj_miss prep v_miss ambig_n	adv_miss pun->v_aux art_miss v_miss conj_miss v_order_src n_lex_style ambig_n
en	108	By mid-July, it was 40 percent.	Bis Mitte Juli waren es 40 Prozent.	Bis Mitte Juli waren es 40 Prozent.	Bis Mitte Juli waren es 40 Prozent.	x     	x       
en	109	In early August, it was 52 percent.	Anfang August waren es 52 Prozent.	Anfang August waren es 52 Prozent.	Anfang August waren es 52 Prozent.	x     	x       
en	110	Now, six in 10 Republicans have a favorable view of Donald Trump.	Jetzt haben sechs in zehn Republikanern einen günstigen Blick auf Donald Trump.	Jetzt haben sechs von zehn Republikanern ein positives Bild von Donald Trump.	Jetzt haben sechs von 10 Republikanern eine positive Ansicht von Donald Trump.	prep a_lex_style ambig_n   	x       
en	111	Roughly three in 10 say they have a negative view.	Ungefähr drei in 10 sagen, sie haben einen negativen Blick.	Rund drei von zehn sagen, sie haben eine negative Meinung.	Etwa drei von zehn sagen, dass sie eine negative Meinung haben.	prep ambig_n    	x       
en	112	And these numbers hold up in early states.	Und diese Zahlen halten sich in frühen Bundesstaaten auf.	Und diese Zahlen halten sich in frühen Staaten.	Und diese Zahlen halten sich in frühen Staaten.	v_pref_ext     	x       
en	113	A Quinnipiac poll in Iowa last week found that 60 percent of Republicans there had a favorable view of Trump.	Eine Quinnipiac-Umfrage in Iowa hat in der vergangenen Woche festgestellt, dass 60 Prozent der Republikaner dort einen günstigen Blick auf Trump hatten.	Eine Umfrage von Quinnipiac in Iowa in der vergangenen Woche ergab, dass 60 Prozent der Republikaner hatte es ein positives Bild von Trump.	Eine Quinnipiac-Abstimmung in Iowa hat letzte Woche festgestellt, dass 60 Prozent der Republikaner eine gute Meinung von Trump haben.	a_lex_style adv_order ambig_n v_infl  	a_lex_style v_infl_order pron_ext     
en	119	Marco Rubio with only 21 percent.	Marco Rubio mit nur 21 Prozent.	Marco Rubio mit nur 21 Prozent.	Marco Rubio mit nur 21 Prozent.	x     	x       
en	120	On the flip side, 47 percent of Republican voters say they would be "dissatisfied" or "upset" if establishment favorite Jeb Bush becomes the nominee.	Auf der Kehrseite sagen 47 Prozent der republikanischen Wähler, sie wären "unzufrieden" oder "verärgert", wenn Niederlassungsfavorit Jeb Bush zum Kandidaten wird.	Auf der anderen Seite, 47 Prozent der republikanischen Wähler sagen, sie wäre "unzufrieden" oder "verärgert", wenn Einrichtung Favorit Jeb Bush der Kandidat wird.	Auf der anderen Seite sagen 47 Prozent der republikanischen Wähler, dass sie "unzufrieden" oder "verärgert" wären, wenn Jeb Bush, der Favorit des Establishments, der Kandidat würde.	n_lex_style prep n_infl v_infl  	v_infl n-coll_comp v_infl     
en	132	Even if Republicans rallied around another candidate, Trump still beats almost everyone.	Selbst wenn sich die Republikaner um einen anderen Kandidaten scharten, schlägt Trump noch fast alle.	Selbst wenn die Republikaner einen anderen Kandidaten unterstützte, Trump schlägt noch fast jeder.	Selbst wenn die Republikaner sich um einen anderen Kandidaten sammelten, schlägt Trump noch fast jeden.	pron_refl_order     	v_infl v_order pron_infl     
en	133	Some pundits point out that the splintered field is likely contributing to Trump's lead, while anti-Trump support is be spread diffusely among more than a dozen other candidates.	Einige Experten weisen darauf hin, dass das gespickte Feld wahrscheinlich zu Trumpfs Führung beiträgt, während die Unterstützung von Anti-Trump unter mehr als einem Dutzend anderer Kandidaten verbreitet wird.	Einige Experten weisen darauf hin, dass das zersplitterte Feld wahrscheinlich Trumps Blei beizutragen, während Anti-Trump-Unterstützung ist diffus verteilt werden unter mehr als einem Dutzend anderer Kandidaten.	Einige Experten weisen darauf hin, dass das zersplitterte Feld wahrscheinlich zu Trumps Führung beiträgt, während der Anti-Trump-Support auf mehr als ein Dutzend anderer Kandidaten diffus verteilt ist.	a_lex ne_trans comp art_infl  	prep_miss ambig_n v_infl art_miss literal werden_ext_src-error_is-be art_infl 
en	136	He's in a dead heat with Ted Cruz.	Er ist in einer toten Hitze mit Ted Cruz.	Er ist in einem toten Rennen mit Ted Cruz.	Es ist ein Kopf-an-Kopf-Rennen mit Ted Cruz.	mwe     	mwe       
en	137	The only candidate who beats him?	Der einzige Kandidat, der ihn schlägt?	Der einzige Kandidat, der ihn schlägt?	Der einzige Kandidat, der ihn schlägt?	x     	x       
en	139	A bare majority of Donald Trump's supporters say they've made up their minds.	Eine nackte Mehrheit der Anhänger von Donald Trump sagen, sie hätten sich ihre Gedanken gemacht.	Eine knappe Mehrheit von Donald Trump die Anhänger sagen, dass sie ihre Meinung gebildet haben.	Eine knappe Mehrheit von Donald-Trump-Fans sagt, dass sie sich ihre Meinung gebildet haben.	ambig_a v_infl v_infl ambig_n ambig_v 	art_ext v_infl      
en	149	Frustration with government is climbing to new highs.	Der Frust mit der Regierung steigt auf neue Höchststände.	Die Frustration mit der Regierung auf neue Höchststände klettern.	Die Frustration über die Regierung klettert auf neue Höchststände.	prep     	prep v_infl_order      
en	152	And they are angry at Washington, too.	Und sie sind auch in Washington wütend.	Und sie sind wütend auf Washington.	Und sie sind auch wütend auf Washington.	a_order prep    	adv_miss       
de	155	The most expensive residential developments are located here in Hobookenweg – with a view over the North Sea mudflats.	Die teuersten Wohnentwicklungen liegen hier im Hobookenweg - mit Blick auf die Nordseeküste.	Die teuersten Wohnanlagen befinden sich hier im Hobookenweg - mit Blick auf die Nordsee.	Hier im Hobookenweg befindet sich die teuerste Wohnanlage - mit Blick über das Nordseewatt.	ambig_n v_lex_style n_lex   	n_lex       
de	167	A lucky goal from Thomas Müller paved the way for a 3:0 victory for FC Bayern at Olypiacos Piraeus - then it got better.	Ein Glücksziel von Thomas Müller bereitete den Weg für einen 3: 0-Sieg für den FC Bayern bei Olypiacos Piräus - dann kam es besser.	Ein glückliches Tor von Thomas Müller ebnete den Weg zum 3: 0-Sieg für den FC Bayern auf Olypiacos Piräus - dann wurde es besser.	Ein glücklicher Treffer von Thomas Müller ebnete dem FC Bayern den Weg zu einem verdienten 3:0 bei Olympiakos Piräus - dann lief's.	ambig_n n_lex_style spell_src ambig_v  	prep spell_src      
de	168	A confident start to the Champions League season.	Ein selbstbewusster Start in die Champions-League-Saison.	Der Start in die Champions-League-Saison.	Ein souveräner Auftakt der Champions-League-Saison.	x     	art a_miss      
de	179	Attacks were too often initiated by bringing left winger Douglas Costa, who rarely got past former Brunswick player Omar Elabdellaoui, into play.	Angriffe wurden zu oft eingeleitet, indem man den linken Winger Douglas Costa, der selten an dem ehemaligen Brunswick-Spieler Omar Elabdellaoui vorbeikam, ins Spiel brachte.	Die Angriffe wurden oft durch die linke Politikerin Douglas Costa, der sich selten als ehemaliger Spieler Omar Elabdellaoui, ins Spiel.	Die Angriffe wurden zu oft per Spielverlagerung auf Linksaußen Douglas Costa eingeleitet, der gegen den früheren Braunschweiger Omar Elabdellaoui selten durchkam.	untrans prep    	art_infl ambig_n mwe v_miss    
de	182	Robert Lewandowski had the best opportunities in the first half.	Robert Lewandowski hatte in der ersten Halbzeit die besten Chancen.	Robert Lewandowski hatte die besten Chancen in der ersten Hälfte.	Die besten Gelegenheiten in Hälfte eins hatte Robert Lewandowski.	x     	x       
de	187	For example when he steered a shot from Ideye over the crossbar in the 56th minute.	Zum Beispiel, als er in der 56. Minute einen Schuss von Ideye über die Querlatte lenkte.	Zum Beispiel, als er einen Schuss von Ideye über die Querlatte in der 56. Minute.	So etwa, als er einen Schuss von Ideye über die Latte lenkte (56.).	x     	v_miss       
de	189	Mario Götze, back in the squad following muscle problems, initially sat on the sidelines.	Mario GÖTZE, zurück in der Truppe nach Muskelproblemen, saß zunächst an der Seitenlinie.	Mario GÖTZE, zurück in den Kader nach Muskel-Problemen, zunächst an der Seitenlinie saß.	Mario Götze, nach muskulären Problemen zurück im Kader, saß zunächst draußen.	ne_cap     	ne_cap art_infl v_order     
de	193	Before the match there was a riot in the stadium.	Vor der Partie gab es einen Aufruhr im Stadion.	Vor dem Spiel gab es einen Aufruhr im Stadion.	Vor dem Spiel war es im Stadion zu Krawallen gekommen.	n_lex_style phrase_order_adv_place    	phrase_order_adv_place       
de	199	Smokers have a significantly increased risk of losing their teeth early.	Raucher haben ein deutlich erhöhtes Risiko, früh ihre Zähne zu verlieren.	Raucher haben ein deutlich erhöhtes Risiko, ihre Zähne vorzeitig zu verlieren.	Raucher haben ein deutlich erhöhtes Risiko, ihre Zähne früh zu verlieren.	adv_order     	x       
de	204	Smoking is a risk factor for this periodontitis, emphasise the authors.	Rauchen sei ein Risikofaktor für diese Parodontitis, betonen die Autoren.	Das Rauchen ist ein Risikofaktor für die Parodontitis, die Autoren.	Für diese Parodontitis sei Rauchen ein Risikofaktor, betonen die Autoren.	x     	art_ext det->art v_miss     
de	205	The connection between smoking and loss of teeth can therefore be attributed to more frequent gum inflammation in smokers.	Die Verbindung zwischen Rauchen und Verlust von Zähnen kann daher auf häufigere Zahnfleischentzündungen bei Rauchern zurückgeführt werden.	Der Zusammenhang zwischen Rauchen und dem Verlust der Zähne kann also auf häufigere Zahnfleischentzündungen bei Rauchern.	Der Zusammenhang zwischen Rauchen und Zahnverlust gehe daher auf häufigere Zahnfleischentzündungen bei Rauchern zurück.	n-coll_comp     	art_ext n-coll_comp v_miss     
de	208	It could however take 10 years before the danger once more drops to the level of non-smokers', declared lead author Thomas Dietrich of the University of Birmingham in England.	Es könnte aber zehn Jahre dauern, bis die Gefahr einmal mehr auf das Niveau der Nichtraucher zurückgeht ", erklärte Leitautor Thomas Dietrich von der Universität Birmingham in England.	Allerdings könnte es 10 Jahre dauern, bevor erneut die Gefahr sinkt auf das Niveau von Nichtrauchern ", erklärt Hauptautor Thomas Dietrich von der Universität von Birmingham in England.	Es könne allerdings über zehn Jahre dauern, bis die Gefährdung wieder auf das Niveau von Nichtrauchern sinke, erklärte Erstautor Thomas Dietrich von der englischen Universität Birmingham.	n_lex_style     	adv_order v_infl n_lex_style prep_ext    
de	211	In Germany over 20 percent of the population in the 65 to 74 age group are affected by toothlessness, according to the DIfE.	In Deutschland sind über 20 Prozent der Bevölkerung in der 65 bis 74 Altersklasse von Zahnlosigkeit betroffen, so das DIfE.	In Deutschland sind mehr als 20 Prozent der Bevölkerung in der Altersgruppe von 65 bis 74 Zahnlosigkeit betroffen sind, laut DIfE.	In Deutschland sind über 20 Prozent der Bevölkerung im Alter von 65 bis 74 Jahre von Zahnlosigkeit betroffen, teilte das DIfE mit.	literal mwe    	prep_miss v_ext mwe     
de	213	The new long term study substantiates these findings.	Die neue Langzeitstudie untermauert diese Erkenntnisse.	Die neue Langzeit-Studie belegt diese Ergebnisse.	Die neue Langzeitstudie untermauere die Befunde.	x     	x       
de	214	Archaeologists discover ancient remains on the banks of the Rhine at Cologne	Archäologen entdecken antike Überreste am Rheinufer bei Köln	Archäologen entdecken antike Überreste am Ufer des Rheins in Köln	Archäologen stoßen an Kölner Rheinufer auf Reste aus der Spätantike	ambig_n     	ambig_n n-coll_comp      
de	231	EU Commission proposes new court in controversy over TTIP	EU-Kommission schlägt neues Gericht im Streit um TTIP vor	Die EU-Kommission schlägt neues Gericht in Kontroverse über TTIP	EU-Kommission schlägt in Streit über TTIP neues Gericht vor	x     	art_ext v_pref_miss      
de	232	To defuse the controversy over the planned Transatlantic Trade and Investment Partnership, TTIP, the EU Commission has proposed a substantial reform of the current arbitration system.	Um die Kontroverse über die geplante Transatlantische Handels- und Investitionspartnerschaft, TTIP, zu entschärfen, hat die EU-Kommission eine substanzielle Reform des derzeitigen Schlichtungssystems vorgeschlagen.	Zur Entschärfung der Kontroverse über die geplante Transatlantische Handels- und Investitionspartnerschaft TTIP, die EU-Kommission hat eine grundlegende Reform des derzeitigen Schiedssystem.	Zur Entschärfung des Streits über das geplante transatlantische Freihandelsabkommen TTIP hat die EU-Kommission eine umfangreiche Reform des aktuellen Schiedsgerichtssystems vorgeschlagen.	x     	v_order v_miss n_infl     
de	234	"We want to set up a system which citizens trust," stated the responsible EU Commissioner, Cecilia Malström, when introducing it.	"Wir wollen ein System einrichten, das die Bürger vertrauen", erklärte die zuständige EU-Kommissarin Cecilia Malström bei der Einführung.	"Wir wollen ein System, das Vertrauen der Bürger", erklärte die zuständige EU-Kommissarin Cecilia Malström, als es einführt.	"Wir wollen ein System einrichten , dem die Bürger trauen", erklärte die zuständige EU-Kommissarin Cecilia Malmström bei der Vorstellung.	pron_rel_infl     	n/v literal      
de	235	The Swede plans to introduce the proposal as the European negotiating position in the free trade talks with the USA.	Der Schwede plant, den Vorschlag als europäische Verhandlungsposition bei den Freihandelsgesprächen mit den USA einzuführen.	Der Schwede will den Vorschlag einbringen, wie die europäische Verhandlungsposition im Freihandel mit den USA spricht.	Die Schwedin hat vor, den Vorschlag als europäische Verhandlungsposition in die Freihandelsgespräche mit den USA einzubringen.	gender_src prep    	gender_src v_order ambig_conj n/v    
de	236	The German government has announced its support.	Die deutsche Regierung hat ihre Unterstützung angekündigt.	Die deutsche Regierung hat ihre Unterstützung angekündigt.	Die deutsche Regierung kündigte Unterstützung an.	x     	x       
de	238	Plans for reform of the current arbitration procedure specifically provide for the EU states and the USA to jointly select independent judges for a new investment court.	Pläne für eine Reform des aktuellen Schlichtungsverfahrens sorgen insbesondere für die EU-Staaten und die USA, gemeinsam unabhängige Richter für ein neues Investitionsgericht zu wählen.	Die Pläne für die Reform des laufenden Schlichtungsverfahrens bieten speziell für die EU-Staaten und die USA gemeinsam unabhängige Richter zu wählen, für eine neue Investition.	Die Pläne zur Reform der aktuellen Schiedsverfahren sehen konkret vor, dass die EU-Staaten und die USA gemeinsam unabhängige Richter für einen neuen Investitionsgerichtshof auswählen.	art_miss ambig_v phrase_subord_to_v v_pref_miss  	ambig_a v_pref_miss v_order n-coll_comp    
de	239	They should come in equal proportions from the EU, the USA and from non-member countries.	Sie sollten in gleichem Maße von der EU, den USA und aus Drittländern kommen.	Sie sollten in gleichen Teilen von der EU, den USA und aus Drittländern.	Sie sollen zu gleichen Teilen aus der EU, den USA und aus Drittstaaten stammen.	prep     	prep prep v_miss     
de	240	For the first time, a second instance is also provided for.	Erstmals ist auch eine zweite Instanz vorgesehen.	Zum ersten Mal ist auch eine zweite Instanz vorgesehen.	Vorgesehen ist zum ersten Mal auch eine zweite Instanz.	x     	x       
de	246	Investor State Dispute Settlement (ISDS), which is required particularly by large companies, is said to be one of the main reasons for the stiff opposition to the TTIP in Europe.	Der von Großunternehmen geforderte Tarifkonflikt (ISDS), der vor allem von Großunternehmen verlangt wird, soll einer der Hauptgründe für die harte Opposition gegen die TTIP in Europa sein.	Investor State Dispute Settlement (ISDS), die vor allem von großen Unternehmen notwendig ist, wird als einer der Hauptgründe für den starken Widerstand gegen die TTIP in Europa.	Die vor allem von Großkonzernen verlangten Investor-Staats-Schiedsverfahren (ISDS) gelten als einer der Hauptgründe für den großen Widerstand in Europa gegen TTIP.	n-coll     	untrans ambig_a mwe     
de	252	The old system of private arbitration courts is off the table.	Das alte System privater Schiedsgerichte ist vom Tisch.	Das alte System von privaten Schiedsgerichten vom Tisch ist.	Das alte System von privaten Schiedsgerichten sei vom Tisch.	genitive     	v_order       
de	254	The European business association BusinessEurope warned against restricting the options for industry to take legal action with too many new rules.	Der europäische Unternehmerverband BusinessEurope warnte davor, die Optionen für die Industrie einzuschränken, rechtliche Schritte mit zu vielen neuen Regeln zu ergreifen.	Der europäische Verband BUSINESSEUROPE warnte gegen die Einschränkung der Möglichkeiten für die Industrie, mit zu vielen neuen Regeln.	Der europäische Unternehmensverband BusinessEurope warnte davor, die Klagemöglichkeiten der Wirtschaft durch zu viele neue Regeln einzuschränken.	phrase_structure     	n-coll_comp ne_cap phrase_structure phrase_miss_v    
de	255	Small and medium sized enterprises in particular could be disadvantaged, they said.	Vor allem kleine und mittlere Unternehmen könnten benachteiligt werden, hieß es.	Kleine und mittlere Unternehmen benachteiligt werden könnten, sagten sie.	Besonders kleine und mittlere Unternehmen könnten dadurch benachteiligt werden, hieß es.	x     	adv_miss v_order      
de	257	Negotiations have been taking place since the middle of 2013.	Die Verhandlungen finden seit Mitte 2013 statt.	Die Verhandlungen seit Mitte 2013.	Die Verhandlungen laufen seit Mitte 2013.	x     	v_miss       
